시군구명,기준년월코드,기준분기코드,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수,남성연령대10직장인구수,남성연령대20직장인구수,남성연령대30직장인구수,남성연령대40직장인구수,남성연령대50직장인구수,남성연령대60이상직장인구수,여성연령대10직장인구수,여성연령대20직장인구수,여성연령대30직장인구수,여성연령대40직장인구수,여성연령대50직장인구수,여성연령대60이상직장인구수
노원구,2017,3,6887,3191,3696,31,1019,1214,1677,1724,1222,20,327,653,772,715,704,11,692,561,905,1009,518
노원구,2017,4,6921,3189,3732,45,1015,1196,1681,1761,1223,19,326,656,757,731,700,26,689,540,924,1030,523
노원구,2018,1,6921,3189,3732,45,1015,1196,1681,1761,1223,19,326,656,757,731,700,26,689,540,924,1030,523
노원구,2018,2,7624,3624,4000,31,1113,1402,1807,1896,1375,9,369,814,902,778,752,22,744,588,905,1118,623
노원구,2018,3,7624,3624,4000,31,1113,1402,1807,1896,1375,9,369,814,902,778,752,22,744,588,905,1118,623
노원구,2018,4,7624,3624,4000,31,1113,1402,1807,1896,1375,9,369,814,902,778,752,22,744,588,905,1118,623
노원구,2019,1,10327,4881,5446,71,1648,1778,2333,2350,2147,27,570,888,1102,1019,1275,44,1078,890,1231,1331,872
노원구,2019,2,5722,3086,2636,13,717,890,1371,1401,1330,5,273,471,723,775,839,8,444,419,648,626,491
노원구,2019,3,5722,3086,2636,13,717,890,1371,1401,1330,5,273,471,723,775,839,8,444,419,648,626,491
노원구,2019,4,5212,2893,2319,17,652,829,1249,1331,1134,6,255,453,675,777,727,11,397,376,574,554,407
도봉구,2015,1,8578,4975,3603,38,999,1711,2448,2326,1056,33,354,971,1395,1479,743,5,645,740,1053,847,313
도봉구,2015,2,8741,5102,3639,20,951,1717,2371,2421,1261,13,330,968,1366,1540,885,7,621,749,1005,881,376
도봉구,2015,3,8741,5102,3639,20,951,1717,2371,2421,1261,13,330,968,1366,1540,885,7,621,749,1005,881,376
